term
OfferPad, LLC
OfferPad (SPVBorrower), LLC
OfferPad (SPVBorrower1), LLC
OP SPE PHX1, LLC
OP SPE TPA1, LLC
OP SPE BORROWER PARENT, LLC
OP SPE HOLDCO, LLC
OfferPad Mortgage, LLC
OfferPad Brokerage, LLC
OfferPad Brokerage “FL,” LLC
OfferPad Brokerage FL, LLC
OP Contracting AZ, LLC
OP Contracting GA, LLC
OP Contracting TX, LLC
OfferPad Brokerage CA, Inc.
Offerpad SPV Borrower G, LLC
Offerpad SPE Borrower A Holdings, LLC
Offerpad SPE Borrower A, LLC
OP Gold Holdings, LLC
OP Gold, LLC
# source: https://www.corporationwiki.com/p/2y8dqt/offerpad-llc
# source: https://www.knock.com/home-swap/
Knock Lending LLC
Knockaway Inc
Knock Homes LLC
# source: https://www.corporationwiki.com/p/31sz57/knock-homes-w1-llc
KNOCK HOMES W1 LLC
Knock Homes W2 LLC
Knock Homes W3 LLC
Knock Homes C LLC
Knock Homes F LLC
Knock Homes K LLC
Knock Property 1 LLC
Knock Property 4 LLC
Knockaway Inc
Knock Away, Inc
Knock Title LLC
Knock Lending LLC
# source: https://www.ribbonhome.com/buy
Ribbon Home Inc
Ribbon Home Spv I, LLC
Ribbon Home Spv II, LLC
Ribbon Home Spv III, LLC
Ribbon Home Spv IIII, LLC
Ribbon Home Spv V, LLC
Ribbon Home Spv 1, LLC
Ribbon Home Spv 2, LLC
Ribbon Home Spv 3, LLC
Ribbon Home Spv 4, LLC
Ribbon Home Spv 5, LLC
Ribbon Home Advisors, LLC
Ribbon Home Facility I, LLC
Ribbon Home Facility II, LLC
Ribbon Home Facility III, LLC
Ribbon Home Facility IV, LLC
Ribbon Home Facility V, LLC
Ribbon Home Facility VI, LLC
Ribbon Home Facility 1, LLC
Ribbon Home Facility 2, LLC
Ribbon Home Facility 3, LLC
Ribbon Home Facility 4, LLC
Ribbon Home Facility 5, LLC
Ribbon Home Facility 6, LLC
# https://orchard.com/terms-of-use
Orchard Technologies, Inc
# https://www.corporationwiki.com/p/39dd1w/orchard-technologies-inc
Orchard Homes I, LLC
Orchard Homes II, LLC
Orchard Homes III, LLC
Orchard Homes 1, LLC
Orchard Homes 2, LLC
Orchard Homes 3, LLC
Orchard Brokerage, LLC
Orchard Home Loans, LLC
Ochard Purchases I, LLC
Orchard Insurance, LLC
Orchard Property II, LLC
# https://assets.orchard.com/files/disclosures/orchard-brokerage-afba.pdf
Orchard Title of Texas, LLC
Orchard Title, LLC
Orchard Title Agency, LLC
Orchard Homes Loans, LLC
Orchard Insurance, LLC
Orchard Mortgage, LLC
Orchard Technologies, Inc.
# From deed 2022058749.pdf, which has a list of entities for Zillow
SPH Master Holdco, LLC
SPH Holdco, LLC
SPH Holding, LLC
SPH Property One, LLC
SPH One, LLLP
Zillow Homes, Inc
SPH Master Holdco Two, LLC
SPH Holdco Two, LLC
SPH Holding Two, LLC
SPH Property Two, LLC
SPH Two, LLLP
SPH Master Holdco Three, LLC
SPH Holdco Three, LLC
SPH Holding Three, LLC
SPH Property Three, LLC
SPH Three, LLLP
Zillow Homes Property Trust
